Tested Domain	Other Domain	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC25A39	0.373	-0.243	0.176	-1.355	ENSG00000013306
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GRN	0.656	-0.111	0.465	-0.731	ENSG00000030582
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EFTUD2	0.584	-0.156	0.384	-0.871	ENSG00000108883
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GFAP	0	0.399	0	4.763	ENSG00000131095
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1QL1	0.843	-0.064	0.735	-0.339	ENSG00000131094
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DCAKD	0.809	0.073	0.68	0.413	ENSG00000172992
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NMT1	0.498	0.165	0.29	1.059	ENSG00000136448
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLCD3	0.336	0.268	0.146	1.456	ENSG00000161714
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HEXIM1	0.316	-0.274	0.129	-1.518	ENSG00000186834
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAPT	0.777	-0.037	0.631	-0.481	ENSG00000186868
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KANSL1	0.181	0.342	0.051	1.952	ENSG00000120071
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NSF	0.011	-0.32	0.001	-3.346	ENSG00000073969
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GOSR2	0.595	-0.158	0.395	-0.851	ENSG00000108433
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDC27	0.791	-0.073	0.655	-0.447	ENSG00000004897
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NPEPPS	0.959	0.014	0.92	0.1	ENSG00000141279
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KPNB1	0.22	0.23	0.071	1.808	ENSG00000108424
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PNPO	0.495	-0.194	0.288	-1.064	ENSG00000108439
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDK5RAP3	0.586	-0.17	0.386	-0.868	ENSG00000108465
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NFE2L1	0.178	-0.183	0.05	-1.965	ENSG00000082641
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CBX1	0.888	-0.039	0.8	-0.254	ENSG00000108468
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CALCOCO2	0.448	0.216	0.24	1.176	ENSG00000136436
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5MC1	0.03	-0.411	0.003	-2.949	ENSG00000159199
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2Z	0.65	0.101	0.458	0.742	ENSG00000159202
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF652	0.368	0.264	0.172	1.368	ENSG00000198740
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHB	0.205	-0.267	0.063	-1.864	ENSG00000167085
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPOP	0.771	0.079	0.622	0.493	ENSG00000121067
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KAT7	0.65	-0.133	0.457	-0.743	ENSG00000136504
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PDK2	0.8	-0.075	0.666	-0.432	ENSG00000005882
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPP1R9B	0.809	0.072	0.68	0.413	ENSG00000108819
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL27	0.084	-0.427	0.015	-2.435	ENSG00000108826
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ANKRD40	0	0.439	0	4.513	ENSG00000154945
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LUC7L3	0	0.68	0	6.249	ENSG00000108848
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TOB1	0.88	-0.053	0.787	-0.271	ENSG00000141232
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPAG9	0.597	0.087	0.398	0.845	ENSG00000008294
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NME1	0.073	-0.376	0.012	-2.523	ENSG00000239672
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NME2	0.239	-0.144	0.082	-1.743	ENSG00000243678
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CA10	0.415	-0.233	0.209	-1.257	ENSG00000154975
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COX11	0.494	-0.195	0.287	-1.066	ENSG00000166260
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCPEP1	0.218	-0.321	0.07	-1.814	ENSG00000121064
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MSI2	0.533	0.14	0.329	0.977	ENSG00000153944
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPS23	0.163	-0.36	0.043	-2.032	ENSG00000181610
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CUEDC1	0.977	0.011	0.951	0.062	ENSG00000180891
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRSF1	0.674	0.093	0.488	0.694	ENSG00000136450
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DYNLL2	0.128	0.136	0.029	2.182	ENSG00000264364
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SUPT4H1	0.528	-0.167	0.321	-0.993	ENSG00000213246
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MTMR4	0.111	-0.426	0.023	-2.281	ENSG00000108389
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEPTIN4	0.001	0.348	0	4.138	ENSG00000108387
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRIM37	0.563	-0.131	0.363	-0.91	ENSG00000108395
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SKA2	0.544	-0.178	0.339	-0.958	ENSG00000182628
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GDPD1	0.711	-0.113	0.542	-0.61	ENSG00000153982
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLTC	0.008	-0.295	0.001	-3.474	ENSG00000141367
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VMP1	0.536	-0.161	0.332	-0.972	ENSG00000062716
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APPBP2	0.358	-0.242	0.163	-1.395	ENSG00000062725
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TANC2	0.628	-0.142	0.434	-0.783	ENSG00000170921
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CYB561	0.16	0.357	0.041	2.043	ENSG00000008283
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DCAF7	0.474	0.177	0.266	1.113	ENSG00000136485
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC47	0.908	0.03	0.835	0.209	ENSG00000108588
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DDX42	0.447	-0.191	0.239	-1.179	ENSG00000198231
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMC5	0.605	-0.083	0.407	-0.829	ENSG00000087191
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SNHG25	0.487	-0.155	0.279	-1.083	ENSG00000266402
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TEX2	0.38	-0.201	0.181	-1.339	ENSG00000136478
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DDX5	0.9	-0.019	0.822	-0.226	ENSG00000108654
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GNA13	0.465	0.21	0.258	1.133	ENSG00000120063
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRKCA	0.202	0.287	0.061	1.88	ENSG00000154229
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HELZ	0.316	0.276	0.129	1.518	ENSG00000198265
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMD12	0.396	-0.184	0.193	-1.302	ENSG00000197170
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PITPNC1	0.955	0.02	0.911	0.111	ENSG00000154217
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BPTF	0.019	0.436	0.002	3.139	ENSG00000171634
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KPNA2	0.258	-0.325	0.093	-1.682	ENSG00000182481
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AMZ2	0.325	-0.251	0.136	-1.492	ENSG00000196704
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRKAR1A	0.016	-0.262	0.001	-3.222	ENSG00000108946
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABCA8	0.254	0.35	0.09	1.697	ENSG00000141338
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KCNJ16	0.627	0.156	0.433	0.785	ENSG00000153822
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SOX9	0.263	0.319	0.096	1.666	ENSG00000125398
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SSTR2	0.035	0.563	0.004	2.877	ENSG00000180616
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDC42EP4	0.577	0.144	0.377	0.885	ENSG00000179604
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL38	0.709	0.041	0.539	0.615	ENSG00000172809
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TTYH2	0.029	0.426	0.003	2.96	ENSG00000141540
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC9A3R1	0.466	0.174	0.259	1.13	ENSG00000109062
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HID1	0.198	-0.338	0.059	-1.894	ENSG00000167861
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KCTD2	0.835	-0.047	0.723	-0.354	ENSG00000180901
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5PD	0	-0.459	0	-4.408	ENSG00000167863
ACHE_SERT_LC_WM	ACHE_SERT_Npep	JPT1	0.121	-0.347	0.027	-2.221	ENSG00000189159
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SUMO2	0.413	-0.13	0.208	-1.261	ENSG00000188612
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPS7	0.559	-0.134	0.357	-0.922	ENSG00000125445
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GRB2	0.256	-0.209	0.091	-1.691	ENSG00000177885
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM94	0.767	0.084	0.616	0.502	ENSG00000177728
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SAP30BP	0.193	-0.353	0.056	-1.911	ENSG00000161526
ACHE_SERT_LC_WM	ACHE_SERT_Npep	H3F3B	0.934	0.012	0.875	0.158	ENSG00000132475
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WBP2	0.128	-0.15	0.029	-2.182	ENSG00000132471
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL38	0.723	0.1	0.559	0.584	ENSG00000204316
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACOX1	0.612	-0.151	0.414	-0.817	ENSG00000161533
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRP68	0.091	-0.424	0.017	-2.393	ENSG00000167881
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EXOC7	0.589	-0.14	0.388	-0.863	ENSG00000182473
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNF157	0.948	0.02	0.9	0.125	ENSG00000141576
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBALD2	0.778	0.083	0.631	0.48	ENSG00000185262
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRPSAP1	0.616	-0.151	0.419	-0.808	ENSG00000161542
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2O	0.264	-0.313	0.097	-1.66	ENSG00000175931
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CYGB	0.039	-0.601	0.005	-2.817	ENSG00000161544
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MXRA7	0.679	-0.067	0.495	-0.683	ENSG00000182534
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRSF2	0.596	-0.1	0.397	-0.847	ENSG00000161547
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEC14L1	0.228	0.293	0.076	1.78	ENSG00000129657
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEPTIN9	0.422	-0.213	0.215	-1.242	ENSG00000184640
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TNRC6C	0.078	0.408	0.013	2.489	ENSG00000078687
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMC6	0.323	0.284	0.135	1.497	ENSG00000141524
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SYNGR2	0.185	0.332	0.053	1.938	ENSG00000108639
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AFMID	0.801	-0.081	0.668	-0.429	ENSG00000183077
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CYTH1	0.749	0.092	0.59	0.539	ENSG00000108669
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TIMP2	0.006	-0.274	0	-3.557	ENSG00000035862
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LGALS3BP	0.699	-0.088	0.523	-0.64	ENSG00000108679
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC26A11	0.244	-0.327	0.085	-1.725	ENSG00000181045
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNF213	0.278	0.29	0.106	1.62	ENSG00000173821
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AATK	0.117	0.297	0.025	2.243	ENSG00000181409
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFAF8	0.879	0.038	0.784	0.274	ENSG00000224877
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC38A10	0.6	-0.15	0.402	-0.838	ENSG00000157637
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACTG1	0	-0.199	0	-4.372	ENSG00000184009
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NPLOC4	0.948	-0.022	0.9	-0.126	ENSG00000182446
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HGS	0.359	-0.228	0.164	-1.393	ENSG00000185359
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL12	0.291	-0.235	0.113	-1.585	ENSG00000262814
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MCRIP1	0.483	0.13	0.274	1.095	ENSG00000225663
ACHE_SERT_LC_WM	ACHE_SERT_Npep	P4HB	0.619	-0.103	0.423	-0.803	ENSG00000185624
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARHGDIA	0.905	-0.019	0.83	-0.215	ENSG00000141522
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ANAPC11	0.093	-0.315	0.018	-2.382	ENSG00000141552
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PCYT2	0.677	0.118	0.492	0.688	ENSG00000185813
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAFG	0.556	0.161	0.352	0.931	ENSG00000197063
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CENPX	0.306	-0.267	0.123	-1.543	ENSG00000169689
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAC3	0.038	-0.542	0.005	-2.828	ENSG00000169750
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DCXR	0.256	-0.2	0.091	-1.69	ENSG00000169738
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPS1	0.451	-0.179	0.242	-1.171	ENSG00000169727
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FASN	0.509	-0.131	0.301	-1.035	ENSG00000169710
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CSNK1D	0.721	-0.08	0.555	-0.591	ENSG00000141551
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR45B	0.823	-0.061	0.702	-0.383	ENSG00000141580
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB40B	0.342	0.215	0.151	1.437	ENSG00000141542
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TBCD	0.598	-0.155	0.4	-0.842	ENSG00000141556
ACHE_SERT_LC_WM	ACHE_SERT_Npep	USP14	0.683	-0.092	0.5	-0.675	ENSG00000101557
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ADCYAP1	0.236	-0.376	0.08	-1.754	ENSG00000141433
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LPIN2	0.36	-0.233	0.165	-1.389	ENSG00000101577
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MYL12A	0.227	-0.319	0.075	-1.785	ENSG00000101608
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MYL12B	0.119	-0.225	0.026	-2.235	ENSG00000118680
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EPB41L3	0.259	-0.177	0.094	-1.678	ENSG00000082397
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTPRM	0.22	-0.305	0.071	-1.81	ENSG00000173482
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB12	0.655	-0.136	0.464	-0.733	ENSG00000206418
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFV2	0.022	-0.403	0.002	-3.082	ENSG00000178127
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ANKRD12	0	0.53	0	4.479	ENSG00000101745
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RALBP1	0.043	0.333	0.006	2.772	ENSG00000017797
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB31	0.001	0.554	0	4.307	ENSG00000168461
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VAPA	0.275	-0.143	0.104	-1.63	ENSG00000101558
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APCDD1	0.612	0.146	0.415	0.816	ENSG00000154856
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NAPG	0.206	-0.3	0.063	-1.862	ENSG00000134265
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GNAL	0.991	-0.005	0.98	-0.025	ENSG00000141404
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHMP1B	0.42	-0.2	0.213	-1.247	ENSG00000255112
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AFG3L2	0.274	-0.305	0.103	-1.633	ENSG00000141385
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPIRE1	0.829	-0.065	0.712	-0.369	ENSG00000134278
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMG2	0.144	-0.4	0.035	-2.11	ENSG00000128789
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LDLRAD4	0.867	0.046	0.769	0.294	ENSG00000168675
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNMT	0.592	-0.129	0.392	-0.857	ENSG00000101654
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ROCK1	0.037	0.478	0.005	2.841	ENSG00000067900
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SNRPD1	0.389	-0.225	0.188	-1.318	ENSG00000167088
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MIB1	0.5	0.173	0.292	1.056	ENSG00000101752
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RIOK3	0.978	0.011	0.954	0.058	ENSG00000101782
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NPC1	0.403	0.224	0.2	1.284	ENSG00000141458
ACHE_SERT_LC_WM	ACHE_SERT_Npep	OSBPL1A	0.474	-0.159	0.267	-1.112	ENSG00000141447
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IMPACT	0.437	-0.218	0.229	-1.205	ENSG00000154059
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AQP4	0.169	0.204	0.046	2.001	ENSG00000171885
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDH2	0.886	-0.04	0.797	-0.257	ENSG00000170558
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TTR	0.513	0.318	0.305	1.027	ENSG00000118271
ACHE_SERT_LC_WM	ACHE_SERT_Npep	B4GALT6	0.692	-0.127	0.511	-0.657	ENSG00000118276
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DTNA	0.453	0.129	0.244	1.165	ENSG00000134769
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAPRE2	0.924	0.019	0.858	0.179	ENSG00000166974
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF24	0.338	0.234	0.148	1.448	ENSG00000172466
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPRD1A	0.837	-0.046	0.727	-0.349	ENSG00000141425
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC39A6	0.368	-0.202	0.172	-1.368	ENSG00000141424
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TPGS2	0.386	-0.171	0.186	-1.324	ENSG00000134779
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CELF4	0.301	0.171	0.121	1.555	ENSG00000101489
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PIK3C3	0.91	0.039	0.838	0.204	ENSG00000078142
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RIT2	0.037	-0.582	0.005	-2.843	ENSG00000152214
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SYT4	0.17	-0.232	0.046	-1.995	ENSG00000132872
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC14A1	0.13	0.368	0.03	2.17	ENSG00000141469
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5F1A	0	-0.376	0	-6.337	ENSG00000152234
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PIAS2	0.411	0.218	0.206	1.267	ENSG00000078043
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HDHD2	0.555	-0.145	0.351	-0.934	ENSG00000167220
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IER3IP1	0.048	-0.501	0.007	-2.72	ENSG00000134049
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SMAD2	0.577	-0.137	0.377	-0.885	ENSG00000175387
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CTIF	0.721	-0.096	0.554	-0.591	ENSG00000134030
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C18orf32	0.371	-0.122	0.174	-1.36	ENSG00000177576
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL17	0.238	-0.099	0.081	-1.747	ENSG00000265681
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACAA2	0.461	0.197	0.253	1.143	ENSG00000167315
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAPK4	0.486	0.196	0.278	1.086	ENSG00000141639
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRO	0.763	0.103	0.609	0.511	ENSG00000134042
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ME2	0.29	-0.264	0.113	-1.588	ENSG00000082212
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TCF4	0.105	0.283	0.021	2.309	ENSG00000196628
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TXNL1	0.731	-0.082	0.569	-0.57	ENSG00000091164
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR7	0.665	-0.108	0.476	-0.713	ENSG00000091157
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ST8SIA3	0.972	-0.012	0.943	-0.072	ENSG00000177511
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NARS	0.105	-0.272	0.021	-2.312	ENSG00000134440
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NEDD4L	0.264	-0.295	0.098	-1.658	ENSG00000049759
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF532	0.701	0.121	0.526	0.634	ENSG00000074657
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEC11C	0.24	-0.134	0.083	-1.738	ENSG00000166562
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LMAN1	0.782	-0.084	0.642	-0.465	ENSG00000074695
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNF152	0.776	0.091	0.628	0.485	ENSG00000176641
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHLPP1	0.382	0.221	0.182	1.335	ENSG00000081913
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KDSR	0.446	0.177	0.238	1.181	ENSG00000119537
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VPS4B	0.068	-0.397	0.011	-2.557	ENSG00000119541
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DSEL	0.511	-0.192	0.303	-1.03	ENSG00000171451
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMX3	0.669	-0.136	0.481	-0.705	ENSG00000166479
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DOK6	0.465	0.196	0.258	1.132	ENSG00000206052
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CYB5A	0.203	-0.357	0.061	-1.875	ENSG00000166347
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CNDP2	0.65	-0.089	0.459	-0.741	ENSG00000133313
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CNDP1	0.001	0.565	0	4.189	ENSG00000150656
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AC093330.1	0.371	0.322	0.175	1.358	ENSG00000266844
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MBP	0	1.014	0	12.343	ENSG00000197971
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC66A2	0.438	-0.222	0.23	-1.201	ENSG00000122490
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TXNL4A	0.156	-0.268	0.04	-2.061	ENSG00000141759
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLPP2	0.629	0.153	0.437	0.778	ENSG00000141934
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SHC2	0.836	-0.064	0.726	-0.351	ENSG00000129946
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDC34	0.162	-0.359	0.042	-2.036	ENSG00000099804
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BSG	0.813	0.029	0.685	0.405	ENSG00000172270
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HCN2	0.363	0.155	0.169	1.378	ENSG00000099822
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PALM	0.34	0.189	0.15	1.441	ENSG00000099864
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MED16	0.892	0.044	0.805	0.247	ENSG00000175221
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM259	0.885	-0.035	0.794	-0.261	ENSG00000182087
ACHE_SERT_LC_WM	ACHE_SERT_Npep	POLR2E	0.175	-0.252	0.048	-1.978	ENSG00000099817
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPX4	0.014	-0.182	0.001	-3.258	ENSG00000167468
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STK11	0.728	0.101	0.564	0.576	ENSG00000118046
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5F1D	0.105	-0.18	0.021	-2.312	ENSG00000099624
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MIDN	0.756	0.093	0.602	0.521	ENSG00000167470
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CIRBP	0.94	0.012	0.884	0.146	ENSG00000099622
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PWWP3A	0.546	0.134	0.341	0.953	ENSG00000160953
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFS7	0.6	-0.091	0.401	-0.84	ENSG00000115286
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GAMT	0.849	0.045	0.743	0.328	ENSG00000130005
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPS15	0.643	0.04	0.451	0.754	ENSG00000115268
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APC2	0.563	0.111	0.365	0.907	ENSG00000115266
