"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"11210","TAF1B","ENSMUSG00000059669","11210.1.1","TAF1B","ENSG00000115750","TATA-box binding protein associated factor, RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:11533]"
"11211","GRHL1","ENSMUSG00000020656","11211.1.1","GRHL1","ENSG00000134317","grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]"
"11212","CYS1","ENSMUSG00000062563","11212.1.1","CYS1","ENSG00000205795","cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]"
"11213","MBOAT2","ENSMUSG00000020646","11213.1.1","MBOAT2","ENSG00000143797","membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]"
"11214","KIDINS220","ENSMUSG00000036333","11214.1.1","KIDINS220","ENSG00000134313","kinase D interacting substrate 220 [Source:HGNC Symbol;Acc:HGNC:29508]"
"11215","ID2","ENSMUSG00000020644","11215.1.1","ID2","ENSG00000115738","inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]"
"11216","RNF144A","ENSMUSG00000020642","11216.1.1","RNF144A","ENSG00000151692","ring finger protein 144A [Source:HGNC Symbol;Acc:HGNC:20457]"
"11217","4930549C15RIK","ENSMUSG00000114048","11217.1.1","N/A","N/A","N/A"
"11218","CMPK2","ENSMUSG00000020638","11218.1.1","CMPK2","ENSG00000134326","cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]"
"11219","GM9866","N/A","11219.1.1","N/A","N/A","N/A"
"11220","SOX11","ENSMUSG00000063632","11220.1.1","SOX11","ENSG00000176887","SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191]"
"11221","RPS7","ENSMUSG00000061477","11221.1.1","RPS7","ENSG00000171863","ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]"
"11222","RNASEH1","ENSMUSG00000020630","11222.1.1","RNASEH1","ENSG00000171865","ribonuclease H1 [Source:HGNC Symbol;Acc:HGNC:18466]"
"11223","ADI1","ENSMUSG00000020629","11223.1.1","ADI1","ENSG00000182551","acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]"
"11224","TRAPPC12","ENSMUSG00000020628","11224.1.1","TRAPPC12","ENSG00000171853","trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]"
"11225","EIPR1","ENSMUSG00000036613","11225.1.1","EIPR1","ENSG00000032389","EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]"
"11226","GM31508","ENSMUSG00000113387","11226.1.1","N/A","N/A","N/A"
"11227","GM31333","ENSMUSG00000113986","11227.1.1","N/A","N/A","N/A"
"11228","MYT1L","ENSMUSG00000061911","11228.1.1","MYT1L","ENSG00000186487","myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]"
"11229","C630031E19RIK","ENSMUSG00000112663","11229.1.1","N/A","N/A","N/A"
"11230","PXDN","ENSMUSG00000020674","11230.1.1","PXDN","ENSG00000130508","peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]"
"11231","SNTG2","ENSMUSG00000020672","11231.1.1","SNTG2","ENSG00000172554","syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]"
"11232","2310016D03RIK","ENSMUSG00000102098","11232.1.1","N/A","N/A","N/A"
"11233","TMEM18","ENSMUSG00000043061","11233.1.1","TMEM18","ENSG00000151353","transmembrane protein 18 [Source:HGNC Symbol;Acc:HGNC:25257]"
"11234","ALKAL2","ENSMUSG00000054204","11234.1.1","ALKAL2","ENSG00000189292","ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683]"
"11235","ACP1","ENSMUSG00000044573","11235.1.1","ACP1","ENSG00000143727","acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]"
"11236","SH3YL1","ENSMUSG00000020669","11236.1.1","SH3YL1","ENSG00000035115","SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]"
"11237","LAMB1","ENSMUSG00000002900","11237.1.1","LAMB1","ENSG00000091136","laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]"
"11238","DLD","ENSMUSG00000020664","11238.1.1","DLD","ENSG00000091140","dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]"
"11239","CBLL1","ENSMUSG00000020659","11239.1.1","CBLL1","ENSG00000105879","Cbl proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:21225]"
"11240","BCAP29","ENSMUSG00000020650","11240.1.1","BCAP29","ENSG00000075790","B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]"
"11241","DUS4L","ENSMUSG00000020648","11241.1.1","DUS4L","ENSG00000105865","dihydrouridine synthase 4 like [Source:HGNC Symbol;Acc:HGNC:21517]"
"11242","COG5","ENSMUSG00000035933","11242.1.1","COG5","ENSG00000164597","component of oligomeric golgi complex 5 [Source:HGNC Symbol;Acc:HGNC:14857]"
"11243","GPR22","ENSMUSG00000044067","11243.1.1","GPR22","ENSG00000172209","G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]"
"11244","HBP1","ENSMUSG00000002996","11244.1.1","HBP1","ENSG00000105856","HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]"
"11245","PRKAR2B","ENSMUSG00000002997","11245.1.1","PRKAR2B","ENSG00000005249","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"11246","CCDC71L","ENSMUSG00000090946","11246.1.1","CCDC71L","ENSG00000253276","coiled-coil domain containing 71 like [Source:HGNC Symbol;Acc:HGNC:26685]"
"11247","AC155255.1","N/A","11247.1.1","N/A","N/A","N/A"
"11248","NAMPT","ENSMUSG00000020572","11248.1.1","NAMPT","ENSG00000105835","nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]"
"11249","GDAP10","N/A","11249.1.1","N/A","N/A","N/A"
"11250","4933406C10RIK","ENSMUSG00000097494","11250.1.1","N/A","N/A","N/A"
"11251","SYPL","ENSMUSG00000020570","11251.1.1","SYPL1","ENSG00000008282","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]"
"11252","CDHR3","ENSMUSG00000035860","11252.1.1","CDHR3","ENSG00000128536","cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308]"
"11253","GM16267","ENSMUSG00000084979","11253.1.1","N/A","N/A","N/A"
"11254","ATXN7L1","ENSMUSG00000020564","11254.1.1","ATXN7L1","ENSG00000146776","ataxin 7 like 1 [Source:HGNC Symbol;Acc:HGNC:22210]"
"11255","ATXN7L1OS1","ENSMUSG00000079143","11255.1.1","N/A","N/A","N/A"
"11256","ATXN7L1OS2","ENSMUSG00000085664","11256.1.1","N/A","N/A","N/A"
"11257","EFCAB10","ENSMUSG00000020562","11257.1.1","EFCAB10","ENSG00000185055","EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531]"
"11258","TWISTNB","N/A","11258.1.1","N/A","N/A","N/A"
"11259","HDAC9","ENSMUSG00000004698","11259.1.1","HDAC9","ENSG00000048052","histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]"
"11260","SNX13","ENSMUSG00000020590","11260.1.1","SNX13","ENSG00000071189","sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]"
"11261","AHR","ENSMUSG00000019256","11261.1.1","AHR","ENSG00000106546","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]"
"11262","GM48236","ENSMUSG00000113741","11262.1.1","N/A","N/A","N/A"
"11263","TSPAN13","ENSMUSG00000020577","11263.1.1","TSPAN13","ENSG00000106537","tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]"
"11264","BZW2","ENSMUSG00000020547","11264.1.1","BZW2","ENSG00000136261","basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]"
"11265","ANKMY2","ENSMUSG00000036188","11265.1.1","ANKMY2","ENSG00000106524","ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]"
"11266","SOSTDC1","ENSMUSG00000036169","11266.1.1","SOSTDC1","ENSG00000171243","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]"
"11267","ISPD","N/A","11267.1.1","N/A","N/A","N/A"
"11268","AGMO","ENSMUSG00000050103","11268.1.1","AGMO","ENSG00000187546","alkylglycerol monooxygenase [Source:HGNC Symbol;Acc:HGNC:33784]"
"11269","GM34408","ENSMUSG00000113005","11269.1.1","N/A","N/A","N/A"
"11270","DGKB","ENSMUSG00000036095","11270.1.1","DGKB","ENSG00000136267","diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]"
"11271","GM48715","ENSMUSG00000113608","11271.1.1","N/A","N/A","N/A"
"11272","4930428E07RIK","ENSMUSG00000112967","11272.1.1","N/A","N/A","N/A"
"11273","ETV1","ENSMUSG00000004151","11273.1.1","ETV1","ENSG00000006468","ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
"11274","ARL4A","ENSMUSG00000047446","11274.1.1","ARL4A","ENSG00000122644","ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]"
"11275","GM17056","ENSMUSG00000090387","11275.1.1","N/A","N/A","N/A"
"11276","IFRD1","ENSMUSG00000001627","11276.1.1","IFRD1","ENSG00000006652","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]"
"11277","ZFP277","ENSMUSG00000055917","11277.1.1","ZNF277","ENSG00000198839","zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070]"
"11278","DOCK4","ENSMUSG00000035954","11278.1.1","DOCK4","ENSG00000128512","dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]"
"11279","IMMP2L","ENSMUSG00000056899","11279.1.1","IMMP2L","ENSG00000184903","inner mitochondrial membrane peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:14598]"
"11280","GM47376","ENSMUSG00000113086","11280.1.1","N/A","N/A","N/A"
"11281","LRRN3","ENSMUSG00000036295","11281.1.1","LRRN3","ENSG00000173114","leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]"
"11282","GM47371","ENSMUSG00000113105","11282.1.1","N/A","N/A","N/A"
"11283","GM46348","ENSMUSG00000113370","11283.1.1","N/A","N/A","N/A"
"11284","DNAJB9","ENSMUSG00000014905","11284.1.1","DNAJB9","ENSG00000128590","DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]"
"11285","GM47096","ENSMUSG00000112547","11285.1.1","N/A","N/A","N/A"
"11286","PNPLA8","ENSMUSG00000036257","11286.1.1","PNPLA8","ENSG00000135241","patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]"
"11287","NRCAM","ENSMUSG00000020598","11287.1.1","NRCAM","ENSG00000091129","neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]"
"11288","STXBP6","ENSMUSG00000046314","11288.1.1","STXBP6","ENSG00000168952","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]"
"11289","GM48508","ENSMUSG00000112112","11289.1.1","N/A","N/A","N/A"
"11290","GM33680","ENSMUSG00000112054","11290.1.1","N/A","N/A","N/A"
"11291","B230217J21RIK","ENSMUSG00000112410","11291.1.1","N/A","N/A","N/A"
"11292","NOVA1","ENSMUSG00000021047","11292.1.1","NOVA1","ENSG00000139910","NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886]"
"11293","PRKD1","ENSMUSG00000002688","11293.1.1","PRKD1","ENSG00000184304","protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]"
"11294","G2E3","ENSMUSG00000035293","11294.1.1","G2E3","ENSG00000092140","G2/M-phase specific E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20338]"
"11295","SCFD1","ENSMUSG00000020952","11295.1.1","SCFD1","ENSG00000092108","sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]"
"11296","COCH","ENSMUSG00000020953","11296.1.1","COCH","ENSG00000100473","cochlin [Source:HGNC Symbol;Acc:HGNC:2180]"
"11297","STRN3","ENSMUSG00000020954","11297.1.1","STRN3","ENSG00000196792","striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720]"
"11298","AP4S1","ENSMUSG00000020955","11298.1.1","AP4S1","ENSG00000100478","adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]"
"11299","HECTD1","ENSMUSG00000035247","11299.1.1","HECTD1","ENSG00000092148","HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]"
"11300","HEATR5A","ENSMUSG00000035181","11300.1.1","HEATR5A","ENSG00000129493","HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]"
"11301","DTD2","ENSMUSG00000020956","11301.1.1","DTD2","ENSG00000129480","D-aminoacyl-tRNA deacylase 2 [Source:HGNC Symbol;Acc:HGNC:20277]"
"11302","NUBPL","ENSMUSG00000035142","11302.1.1","NUBPL","ENSG00000151413","NUBP iron-sulfur cluster assembly factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:20278]"
"11303","GM35188","ENSMUSG00000112437","11303.1.1","N/A","N/A","N/A"
"11304","ARHGAP5","ENSMUSG00000035133","11304.1.1","ARHGAP5","ENSG00000100852","Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]"
"11305","AKAP6","ENSMUSG00000061603","11305.1.1","AKAP6","ENSG00000151320","A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]"
"11306","NPAS3","ENSMUSG00000021010","11306.1.1","NPAS3","ENSG00000151322","neuronal PAS domain protein 3 [Source:HGNC Symbol;Acc:HGNC:19311]"
"11307","1700030L22RIK","ENSMUSG00000113179","11307.1.1","N/A","N/A","N/A"
"11308","1700060O08RIK","ENSMUSG00000099407","11308.1.1","N/A","N/A","N/A"
"11309","SPTSSA","ENSMUSG00000044408","11309.1.1","SPTSSA","ENSG00000165389","serine palmitoyltransferase small subunit A [Source:HGNC Symbol;Acc:HGNC:20361]"
"11310","EAPP","ENSMUSG00000054302","11310.1.1","EAPP","ENSG00000129518","E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]"
"11311","SNX6","ENSMUSG00000005656","11311.1.1","SNX6","ENSG00000129515","sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]"
"11312","CFL2","ENSMUSG00000062929","11312.1.1","CFL2","ENSG00000165410","cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]"
"11313","BAZ1A","ENSMUSG00000035021","11313.1.1","BAZ1A","ENSG00000198604","bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]"
"11314","2700097O09RIK","ENSMUSG00000062198","11314.1.1","N/A","N/A","N/A"
"11315","SRP54A","ENSMUSG00000073079","11315.1.1","SRP54","ENSG00000100883","signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]"
"11316","FAM177A","ENSMUSG00000095595","11316.1.1","FAM177A1","ENSG00000151327","family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829]"
"11317","SRP54C","ENSMUSG00000079108","11317.1.1","SRP54","ENSG00000100883","signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]"
"11318","PPP2R3C","ENSMUSG00000021022","11318.1.1","PPP2R3C","ENSG00000092020","protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]"
"11319","1110008L16RIK","N/A","11319.1.1","N/A","N/A","N/A"
"11320","PSMA6","ENSMUSG00000021024","11320.1.1","PSMA6","ENSG00000100902","proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]"
"11321","NFKBIA","ENSMUSG00000021025","11321.1.1","NFKBIA","ENSG00000100906","NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]"
"11322","RALGAPA1","ENSMUSG00000021027","11322.1.1","RALGAPA1","ENSG00000174373","Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]"
"11323","BRMS1L","ENSMUSG00000012076","11323.1.1","BRMS1L","ENSG00000100916","BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]"
"11324","MBIP","ENSMUSG00000021028","11324.1.1","MBIP","ENSG00000151332","MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]"
"11325","SLC25A21","ENSMUSG00000035472","11325.1.1","SLC25A21","ENSG00000183032","solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]"
"11326","MIPOL1","ENSMUSG00000047022","11326.1.1","MIPOL1","ENSG00000151338","mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460]"
"11327","TTC6","ENSMUSG00000046782","11327.1.1","TTC6","ENSG00000139865","tetratricopeptide repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:19739]"
"11328","4921518K17RIK","ENSMUSG00000085851","11328.1.1","N/A","N/A","N/A"
"11329","SSTR1","ENSMUSG00000035431","11329.1.1","SSTR1","ENSG00000139874","somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330]"
"11330","GM17529","ENSMUSG00000097443","11330.1.1","N/A","N/A","N/A"
"11331","SEC23A","ENSMUSG00000020986","11331.1.1","SEC23A","ENSG00000100934","SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]"
"11332","GEMIN2","ENSMUSG00000060121","11332.1.1","GEMIN2","ENSG00000092208","gem nuclear organelle associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10884]"
"11333","TRAPPC6B","ENSMUSG00000020993","11333.1.1","TRAPPC6B","ENSG00000182400","trafficking protein particle complex subunit 6B [Source:HGNC Symbol;Acc:HGNC:23066]"
"11334","PNN","ENSMUSG00000020994","11334.1.1","PNN","ENSG00000100941","pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]"
"11335","MIA2","ENSMUSG00000021000","11335.1.1","MIA2","ENSG00000150527","MIA SH3 domain ER export factor 2 [Source:HGNC Symbol;Acc:HGNC:18432]"
"11335","MIA2","ENSMUSG00000021000","11335.1.2","CTAGE1","ENSG00000212710","cutaneous T cell lymphoma-associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:24346]"
"11335","MIA2","ENSMUSG00000021000","11335.1.3","CTAGE9","ENSG00000236761","CTAGE family member 9 [Source:HGNC Symbol;Acc:HGNC:37275]"
"11335","MIA2","ENSMUSG00000021000","11335.1.4","CTAGE15","ENSG00000271079","CTAGE family member 15 [Source:HGNC Symbol;Acc:HGNC:37295]"
"11335","MIA2","ENSMUSG00000021000","11335.1.5","CTAGE6","ENSG00000271321","CTAGE family member 6 [Source:HGNC Symbol;Acc:HGNC:28644]"
"11335","MIA2","ENSMUSG00000021000","11335.1.6","CTAGE4","ENSG00000288784","CTAGE family member 4 [Source:HGNC Symbol;Acc:HGNC:24772]"
"11335","MIA2","ENSMUSG00000021000","11335.1.7","CTAGE8","ENSG00000289604","CTAGE family member 8 [Source:HGNC Symbol;Acc:HGNC:37294]"
"11336","FBXO33","ENSMUSG00000035329","11336.1.1","FBXO33","ENSG00000165355","F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]"
"11337","GM20063","ENSMUSG00000113429","11337.1.1","N/A","N/A","N/A"
"11338","LRFN5","ENSMUSG00000035653","11338.1.1","LRFN5","ENSG00000165379","leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360]"
"11339","GM527","ENSMUSG00000047227","11339.1.1","C14orf28","ENSG00000179476","chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]"
"11340","KLHL28","ENSMUSG00000020948","11340.1.1","KLHL28","ENSG00000179454","kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]"
"11341","TOGARAM1","ENSMUSG00000035614","11341.1.1","TOGARAM1","ENSG00000198718","TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]"
"11342","PRPF39","ENSMUSG00000035597","11342.1.1","PRPF39","ENSG00000185246","pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314]"
"11343","FKBP3","ENSMUSG00000020949","11343.1.1","FKBP3","ENSG00000100442","FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719]"
"11344","FANCM","ENSMUSG00000055884","11344.1.1","FANCM","ENSG00000187790","FA complementation group M [Source:HGNC Symbol;Acc:HGNC:23168]"
"11345","MIS18BP1","ENSMUSG00000047534","11345.1.1","MIS18BP1","ENSG00000129534","MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]"
"11346","MDGA2","ENSMUSG00000034912","11346.1.1","MDGA2","ENSG00000139915","MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835]"
"11347","GM47515","ENSMUSG00000113320","11347.1.1","N/A","N/A","N/A"
"11348","GM2912","ENSMUSG00000113098","11348.1.1","N/A","N/A","N/A"
"11349","RPS29","ENSMUSG00000034892","11349.1.1","RPS29","ENSG00000213741","ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]"
"11350","RPL36AL","ENSMUSG00000049751","11350.1.1","RPL36A","ENSG00000241343","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]"
"11351","MGAT2","ENSMUSG00000043998","11351.1.1","MGAT2","ENSG00000168282","alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]"
"11352","KLHDC1","ENSMUSG00000051890","11352.1.1","KLHDC1","ENSG00000197776","kelch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19836]"
"11353","KLHDC2","ENSMUSG00000020978","11353.1.1","KLHDC2","ENSG00000165516","kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]"
"11354","NEMF","ENSMUSG00000020982","11354.1.1","NEMF","ENSG00000165525","nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663]"
"11355","VCPKMT","ENSMUSG00000049882","11355.1.1","VCPKMT","ENSG00000100483","valosin containing protein lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20352]"
"11356","SOS2","ENSMUSG00000034801","11356.1.1","SOS2","ENSG00000100485","SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]"
"11357","L2HGDH","ENSMUSG00000020988","11357.1.1","L2HGDH","ENSG00000087299","L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]"
"11358","ATP5S","N/A","11358.1.1","N/A","N/A","N/A"
"11359","CDKL1","ENSMUSG00000020990","11359.1.1","CDKL1","ENSG00000100490","cyclin dependent kinase like 1 [Source:HGNC Symbol;Acc:HGNC:1781]"
"11360","MAP4K5","ENSMUSG00000034761","11360.1.1","MAP4K5","ENSG00000012983","mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]"
"11361","4931403G20RIK","N/A","11361.1.1","N/A","N/A","N/A"
"11362","ATL1","ENSMUSG00000021066","11362.1.1","ATL1","ENSG00000198513","atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231]"
"11363","SAV1","ENSMUSG00000021067","11363.1.1","SAV1","ENSG00000151748","salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]"
"11364","NIN","ENSMUSG00000021068","11364.1.1","NIN","ENSG00000100503","ninein [Source:HGNC Symbol;Acc:HGNC:14906]"
"11365","PYGL","ENSMUSG00000021069","11365.1.1","PYGL","ENSG00000100504","glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]"
"11366","TRIM9","ENSMUSG00000021071","11366.1.1","TRIM9","ENSG00000100505","tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288]"
"11367","GM48747","ENSMUSG00000113694","11367.1.1","N/A","N/A","N/A"
"11368","TMX1","ENSMUSG00000021072","11368.1.1","TMX1","ENSG00000139921","thioredoxin related transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15487]"
"11369","GM40437","ENSMUSG00000113900","11369.1.1","N/A","N/A","N/A"
"11370","FRMD6","ENSMUSG00000048285","11370.1.1","FRMD6","ENSG00000139926","FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]"
"11371","GM10457","ENSMUSG00000113707","11371.1.1","N/A","N/A","N/A"
"11372","ACTR10","ENSMUSG00000021076","11372.1.1","ACTR10","ENSG00000131966","actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372]"
"11373","PSMA3","ENSMUSG00000060073","11373.1.1","PSMA3","ENSG00000100567","proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]"
"11374","ARID4A","ENSMUSG00000048118","11374.1.1","ARID4A","ENSG00000032219","AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885]"
"11375","TOMM20L","ENSMUSG00000021078","11375.1.1","TOMM20L","ENSG00000196860","translocase of outer mitochondrial membrane 20 like [Source:HGNC Symbol;Acc:HGNC:33752]"
"11376","TIMM9","ENSMUSG00000021079","11376.1.1","TIMM9","ENSG00000100575","translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]"
"11377","2700049A03RIK","ENSMUSG00000034601","11377.1.1","KIAA0586","ENSG00000100578","KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]"
"11378","9630002D21RIK","ENSMUSG00000114028","11378.1.1","N/A","N/A","N/A"
"11379","DAAM1","ENSMUSG00000034574","11379.1.1","DAAM1","ENSG00000100592","dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]"
"11380","GPR135","ENSMUSG00000043398","11380.1.1","GPR135","ENSG00000181619","G protein-coupled receptor 135 [Source:HGNC Symbol;Acc:HGNC:19991]"
"11381","L3HYPDH","ENSMUSG00000019718","11381.1.1","L3HYPDH","ENSG00000126790","trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488]"
"11382","JKAMP","ENSMUSG00000005078","11382.1.1","JKAMP","ENSG00000050130","JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]"
"11383","RTN1","ENSMUSG00000021087","11383.1.1","RTN1","ENSG00000139970","reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]"
"11384","LRRC9","ENSMUSG00000021090","11384.1.1","LRRC9","ENSG00000131951","leucine rich repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:19848]"
"11385","PCNX4","ENSMUSG00000034501","11385.1.1","PCNX4","ENSG00000126773","pecanex 4 [Source:HGNC Symbol;Acc:HGNC:20349]"
"11386","GM4756","ENSMUSG00000109482","11386.1.1","DHRS7","ENSG00000100612","dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]"
"11387","DHRS7","ENSMUSG00000021094","11387.1.1","DHRS7","ENSG00000100612","dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]"
"11388","PPM1A","ENSMUSG00000021096","11388.1.1","PPM1A","ENSG00000100614","protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]"
