Gene Symbol	Gene for PCA, Harmony, Clustering	Rank (n=85 sections)	Deviance (n=85 sections)	Ensembl Gene ID
AC087463.1	No	28494.5	23.58	ENSG00000260780
HOXB8	No	28496	23.57	ENSG00000120068
AC068931.1	No	28497	23.57	ENSG00000286648
AC118345.1	No	28498	23.57	ENSG00000227293
AP001442.1	No	28499	23.57	ENSG00000233783
AC073323.1	No	28500	23.56	ENSG00000232524
KRTAP10-5	No	28501	23.56	ENSG00000241123
Z99127.1	No	28502	23.55	ENSG00000229531
AL359380.1	No	28503	23.55	ENSG00000287745
AC022915.2	No	28504	23.55	ENSG00000253608
AC022092.1	No	28505	23.55	ENSG00000249639
AC078880.4	No	28506	23.54	ENSG00000276308
AL078590.1	No	28507	23.54	ENSG00000229722
LINC02040	No	28508	23.54	ENSG00000243149
AL121830.1	No	28509	23.54	ENSG00000232675
AC103808.1	No	28510	23.53	ENSG00000264212
AC104119.1	No	28511	23.53	ENSG00000249276
TAS2R7	No	28512	23.53	ENSG00000121377
AL359979.2	No	28513	23.52	ENSG00000236846
AC007569.1	No	28514	23.52	ENSG00000257221
KRTAP5-5	No	28516	23.51	ENSG00000185940
AC091198.1	No	28516	23.51	ENSG00000267642
AC061975.8	No	28516	23.51	ENSG00000287721
AL592161.1	No	28518	23.51	ENSG00000231080
AL356752.1	No	28519	23.51	ENSG00000277545
LINC01047	No	28520	23.5	ENSG00000232225
FLG	No	28521	23.5	ENSG00000143631
AP001625.1	No	28522	23.5	ENSG00000231867
KIR2DL1	No	28523	23.49	ENSG00000125498
AL354989.1	No	28524.5	23.49	ENSG00000228352
AC098680.2	No	28524.5	23.49	ENSG00000287659
NLRP13	No	28526	23.49	ENSG00000173572
CDX4	No	28527.5	23.48	ENSG00000131264
AC159540.1	No	28527.5	23.48	ENSG00000237837
IL24	No	28529	23.48	ENSG00000162892
GNAT3	No	28530	23.48	ENSG00000214415
AC060765.2	No	28531	23.48	ENSG00000254394
AL355073.1	No	28532	23.47	ENSG00000259483
AC127526.1	No	28533	23.46	ENSG00000254757
LINC02782	No	28534	23.45	ENSG00000231510
AC105254.1	No	28535	23.45	ENSG00000250344
AC097528.1	No	28536	23.44	ENSG00000286251
AC004594.1	No	28537	23.44	ENSG00000240499
AC007497.2	No	28538	23.44	ENSG00000287909
AL109914.1	No	28539	23.44	ENSG00000229646
AP002856.3	No	28540	23.44	ENSG00000236129
AC011752.1	No	28541	23.43	ENSG00000231204
AC240565.1	No	28542	23.43	ENSG00000280136
AC243972.1	No	28543	23.42	ENSG00000248358
AC015818.7	No	28544	23.41	ENSG00000266925
AC008507.2	No	28545	23.41	ENSG00000267006
AC022113.1	No	28546.5	23.41	ENSG00000250415
AC126544.2	No	28546.5	23.41	ENSG00000285668
AC016705.3	No	28548	23.4	ENSG00000287813
GPRC6A	No	28549	23.4	ENSG00000173612
AC025822.1	No	28550.5	23.4	ENSG00000227101
AC116337.3	No	28550.5	23.4	ENSG00000249856
AC022467.2	No	28552	23.4	ENSG00000286947
AC087878.1	No	28553	23.39	ENSG00000259278
AC108075.1	No	28554	23.39	ENSG00000286700
AC114752.2	No	28555	23.39	ENSG00000238201
SPRR1B	No	28556	23.39	ENSG00000169469
AC108134.1	No	28557	23.39	ENSG00000205890
AC025272.1	No	28558	23.38	ENSG00000260937
AC027612.5	No	28559	23.38	ENSG00000286698
AC022535.2	No	28560	23.37	ENSG00000286687
AC025465.1	No	28561	23.37	ENSG00000248296
AC026979.1	No	28562	23.36	ENSG00000253708
AP006259.1	No	28563	23.36	ENSG00000255097
C10orf120	No	28564	23.35	ENSG00000183559
AC007378.1	No	28565	23.35	ENSG00000273090
OBP2A	No	28566	23.35	ENSG00000122136
LCN9	No	28567	23.35	ENSG00000148386
AC090510.4	No	28568	23.35	ENSG00000286877
AC022274.1	No	28569	23.34	ENSG00000253712
AP001330.5	No	28570	23.34	ENSG00000287479
AC012050.1	No	28571	23.34	ENSG00000259588
AC084030.1	No	28572	23.33	ENSG00000232328
IL12B	No	28573.5	23.33	ENSG00000113302
LINC00351	No	28573.5	23.33	ENSG00000226317
AC073130.2	No	28575.5	23.33	ENSG00000243243
OR4E1	No	28575.5	23.33	ENSG00000276240
AC005277.2	No	28577	23.32	ENSG00000277621
AL021707.3	No	28578	23.32	ENSG00000230149
AC105275.2	No	28579	23.32	ENSG00000261314
AC005392.2	No	28580	23.31	ENSG00000231412
CASP14	No	28581	23.31	ENSG00000105141
AC078962.4	No	28582	23.31	ENSG00000256670
C16orf78	No	28583	23.3	ENSG00000166152
AP003396.3	No	28584	23.3	ENSG00000254740
AL049647.1	No	28585	23.3	ENSG00000179447
NEURL1-AS1	No	28586	23.3	ENSG00000235470
AC026904.1	No	28587	23.29	ENSG00000253140
KRT36	No	28588.5	23.29	ENSG00000126337
AL162584.1	No	28588.5	23.29	ENSG00000227068
AC073284.1	No	28590	23.28	ENSG00000237571
AC098850.2	No	28591	23.28	ENSG00000264765
GRID1-AS1	No	28592	23.28	ENSG00000234942
AC105914.2	No	28593	23.28	ENSG00000250431
AC027811.1	No	28594	23.27	ENSG00000287408
AC234772.2	No	28595	23.27	ENSG00000269902
AC005342.2	No	28596	23.25	ENSG00000256706
AC079380.1	No	28597.5	23.24	ENSG00000251388
AL157703.1	No	28597.5	23.24	ENSG00000288042
AC036222.1	No	28599	23.24	ENSG00000264451
IFNL1	No	28601	23.24	ENSG00000182393
AL355870.1	No	28601	23.24	ENSG00000233256
LINC01702	No	28601	23.24	ENSG00000235200
AL355388.3	No	28603	23.24	ENSG00000285677
AC098828.2	No	28604	23.24	ENSG00000234378
AC007100.2	No	28605	23.24	ENSG00000286604
LINC00841	No	28606.5	23.24	ENSG00000233395
AKR1C8P	No	28606.5	23.24	ENSG00000264006
AC011005.4	No	28608	23.23	ENSG00000243230
AL031716.1	No	28609	23.23	ENSG00000260022
DEFB132	No	28610	23.23	ENSG00000186458
AC010280.1	No	28611	23.22	ENSG00000248359
FOXI2	No	28612	23.22	ENSG00000186766
AC096536.3	No	28613	23.22	ENSG00000287724
TUB-AS1	No	28614	23.22	ENSG00000248332
TRAV16	No	28615	23.22	ENSG00000211796
AP003385.3	No	28616	23.22	ENSG00000255119
AC007991.3	No	28617.5	23.21	ENSG00000253939
AL591742.2	No	28617.5	23.21	ENSG00000282048
AC099654.15	No	28619	23.21	ENSG00000286436
AC003101.1	No	28621	23.21	ENSG00000228768
AC093459.1	No	28621	23.21	ENSG00000229066
AC006974.2	No	28621	23.21	ENSG00000283648
PTPRCAP	No	28623	23.21	ENSG00000213402
AL139008.2	No	28624	23.21	ENSG00000228072
AC005225.1	No	28625	23.2	ENSG00000258443
AC017002.5	No	28626	23.2	ENSG00000280878
AP000755.1	No	28627	23.2	ENSG00000255015
SLC35G3	No	28628	23.2	ENSG00000164729
AC133644.2	No	28629	23.2	ENSG00000273445
AL450163.1	No	28630	23.19	ENSG00000285636
AL023755.1	No	28631.5	23.19	ENSG00000228697
AC018766.1	No	28631.5	23.19	ENSG00000268047
AC097381.2	No	28633	23.19	ENSG00000251460
LINC01149	No	28634	23.19	ENSG00000230174
LINC02167	No	28635	23.19	ENSG00000261122
DCANP1	No	28636	23.18	ENSG00000251380
A4GNT	No	28637	23.18	ENSG00000118017
AC091685.1	No	28638.5	23.18	ENSG00000229881
AC005529.1	No	28638.5	23.18	ENSG00000234208
LINC00272	No	28640	23.18	ENSG00000203729
FAM215A	No	28641	23.18	ENSG00000267496
CYP8B1	No	28642.5	23.17	ENSG00000180432
AC015574.1	No	28642.5	23.17	ENSG00000275016
Z85994.1	No	28644.5	23.17	ENSG00000220702
LINC02354	No	28644.5	23.17	ENSG00000257488
AC084757.4	No	28646	23.17	ENSG00000273925
AL357874.1	No	28647	23.16	ENSG00000227933
LINC01841	No	28648	23.16	ENSG00000266913
SCHLAP1	No	28649	23.15	ENSG00000281131
AL356413.1	No	28650	23.15	ENSG00000285834
AP003973.3	No	28651	23.15	ENSG00000287028
AL353801.1	No	28652	23.15	ENSG00000223462
C1orf137	No	28653	23.15	ENSG00000203864
LINC01495	No	28654	23.14	ENSG00000255323
AC108868.2	No	28655	23.14	ENSG00000232001
TMEM92-AS1	No	28656	23.14	ENSG00000251179
LINC01467	No	28657	23.14	ENSG00000258977
TRBV6-2	No	28658	23.14	ENSG00000283063
C3orf22	No	28659.5	23.13	ENSG00000180697
AL157832.2	No	28659.5	23.13	ENSG00000237224
AC078864.1	No	28661	23.13	ENSG00000257989
RNASE11	No	28662.5	23.13	ENSG00000173464
AL606516.1	No	28662.5	23.13	ENSG00000226484
LINC01039	No	28664	23.13	ENSG00000234168
AC008808.1	No	28665	23.13	ENSG00000248918
AC125611.3	No	28666	23.13	ENSG00000258232
AL596442.1	No	28667	23.12	ENSG00000232197
AL645941.3	No	28668	23.12	ENSG00000263756
LINC00566	No	28669	23.12	ENSG00000261498
AC096541.1	No	28670.5	23.12	ENSG00000225028
AL096828.2	No	28670.5	23.12	ENSG00000260416
AL445648.1	No	28672	23.11	ENSG00000284699
OR5T3	No	28673	23.11	ENSG00000172489
AC010307.3	No	28674	23.11	ENSG00000249478
LCE3D	No	28675.5	23.11	ENSG00000163202
AC112770.1	No	28675.5	23.11	ENSG00000288087
AP001046.1	No	28677	23.1	ENSG00000225637
AL161782.1	No	28678	23.1	ENSG00000280366
KIR2DL3	No	28679.5	23.09	ENSG00000243772
AC008705.2	No	28679.5	23.09	ENSG00000253947
AL161757.5	No	28681	23.09	ENSG00000259133
LINC02507	No	28682	23.09	ENSG00000251688
AC096588.1	No	28683.5	23.09	ENSG00000249392
AC073176.2	No	28683.5	23.09	ENSG00000285300
AL160408.4	No	28685	23.09	ENSG00000241475
AC012184.4	No	28686	23.08	ENSG00000285710
AC022325.2	No	28687	23.08	ENSG00000286494
NBPF6	No	28688	23.08	ENSG00000186086
AC008734.1	No	28689	23.08	ENSG00000269300
GPR15	No	28690	23.07	ENSG00000154165
LINC01724	No	28691.5	23.07	ENSG00000227421
LINC02401	No	28691.5	23.07	ENSG00000257762
AL162493.1	No	28693	23.07	ENSG00000288016
AL022313.2	No	28694	23.07	ENSG00000228719
LINC00402	No	28695	23.07	ENSG00000235532
AC006270.1	No	28696	23.06	ENSG00000264513
AC083841.2	No	28697	23.06	ENSG00000253715
AC012038.2	No	28698	23.06	ENSG00000257849
AL445183.1	No	28699	23.05	ENSG00000232993
CCDC37-DT	No	28700	23.05	ENSG00000249833
LINC02143	No	28701	23.05	ENSG00000253236
OR4F15	No	28702	23.05	ENSG00000182854
OR10J1	No	28703	23.05	ENSG00000196184
SMIM9	No	28704	23.04	ENSG00000203870
AC106744.2	No	28705	23.04	ENSG00000251487
AC084734.1	No	28706	23.04	ENSG00000254380
AC021180.1	No	28707	23.04	ENSG00000250532
AC084361.1	No	28708	23.04	ENSG00000257095
AC024592.2	No	28709	23.03	ENSG00000267709
AL513412.1	No	28710	23.03	ENSG00000224972
AC015795.1	No	28711.5	23.03	ENSG00000250751
AC010320.3	No	28711.5	23.03	ENSG00000269102
AC016396.1	No	28713	23.03	ENSG00000228527
AC010976.1	No	28714.5	23.02	ENSG00000231731
AL589182.1	No	28714.5	23.02	ENSG00000258314
TMEM252-DT	No	28716	23.02	ENSG00000226337
AC009145.2	No	28717	23.02	ENSG00000260511
AP002478.1	No	28718	23.02	ENSG00000266401
AC139887.3	No	28719	23.01	ENSG00000260262
AC137834.2	No	28720	23.01	ENSG00000276727
AC105460.2	No	28721	23	ENSG00000251577
AP001269.1	No	28722	23	ENSG00000266955
AC072022.1	No	28723.5	22.99	ENSG00000228804
AC008060.3	No	28723.5	22.99	ENSG00000236544
IGFL1	No	28725	22.99	ENSG00000188293
AC007848.2	No	28726	22.99	ENSG00000256218
AC010974.1	No	28727	22.99	ENSG00000230065
TRBV14	No	28728	22.99	ENSG00000275743
TTC21B-AS1	No	28729	22.99	ENSG00000224490
AC025257.1	No	28730	22.99	ENSG00000257386
AL035412.1	No	28731.5	22.98	ENSG00000285041
AL353152.2	No	28731.5	22.98	ENSG00000286281
AC009088.3	No	28733	22.97	ENSG00000261385
AL389889.1	No	28734	22.96	ENSG00000227282
OR4K17	No	28735	22.96	ENSG00000176230
AC135782.3	No	28736	22.95	ENSG00000261546
CABP2	No	28737	22.95	ENSG00000167791
NKX2-4	No	28738	22.95	ENSG00000125816
AC113346.2	No	28739	22.95	ENSG00000251670
AC136628.4	No	28740.5	22.94	ENSG00000253652
AL356277.3	No	28740.5	22.94	ENSG00000272243
AP003351.1	No	28742	22.94	ENSG00000253585
ZBED2	No	28743	22.94	ENSG00000177494
AC091885.2	No	28744	22.94	ENSG00000251294
AC067945.2	No	28745	22.94	ENSG00000230686
TRAV36DV7	No	28746	22.94	ENSG00000211815
AC110795.1	No	28747	22.94	ENSG00000286074
AL731575.1	No	28748	22.94	ENSG00000224500
AC113137.1	No	28749	22.93	ENSG00000267098
LINC01850	No	28750	22.92	ENSG00000227708
OR8U1	No	28751	22.92	ENSG00000172199
MCCD1	No	28752	22.92	ENSG00000204511
AC015563.2	No	28753	22.92	ENSG00000264982
TBC1D28	No	28754.5	22.92	ENSG00000189375
CARD17	No	28754.5	22.92	ENSG00000255221
AP001341.1	No	28756	22.91	ENSG00000222042
MYOD1	No	28757	22.91	ENSG00000129152
AC019211.1	No	28758	22.91	ENSG00000239498
AC034229.2	No	28759.5	22.9	ENSG00000260515
AL158198.2	No	28759.5	22.9	ENSG00000287614
AC068643.2	No	28761.5	22.9	ENSG00000257860
AC006441.1	No	28761.5	22.9	ENSG00000263466
AC117500.3	No	28763	22.9	ENSG00000256258
AL591178.1	No	28764	22.89	ENSG00000225315
HTR3E-AS1	No	28765	22.89	ENSG00000238020
CCDC197	No	28766	22.89	ENSG00000175699
HOXB9	No	28767	22.89	ENSG00000170689
AC139792.1	No	28768	22.89	ENSG00000271771
LINC02216	No	28769.5	22.89	ENSG00000249551
AL356130.1	No	28769.5	22.89	ENSG00000276687
LINC01428	No	28771	22.88	ENSG00000228888
AC024937.3	No	28772	22.88	ENSG00000286168
PTCSC3	No	28773	22.87	ENSG00000259104
AC099342.1	No	28774	22.87	ENSG00000226097
AL023283.1	No	28775	22.86	ENSG00000285598
AC104134.1	No	28776	22.86	ENSG00000225420
AC073655.3	No	28777	22.86	ENSG00000287237
AC011444.3	No	28778	22.85	ENSG00000267299
LINC01397	No	28779	22.85	ENSG00000258673
AL442071.2	No	28780	22.84	ENSG00000287422
AC004232.1	No	28781.5	22.83	ENSG00000262899
AC008752.1	No	28781.5	22.83	ENSG00000266950
TRAV27	No	28783	22.82	ENSG00000211809
AL353804.2	No	28784	22.82	ENSG00000271199
TTTY22	No	28785	22.81	ENSG00000224075
AL512306.3	No	28786.5	22.81	ENSG00000240710
AC073174.1	No	28786.5	22.81	ENSG00000285958
BMP8B-AS1	No	28788	22.81	ENSG00000285905
AL162574.2	No	28789	22.81	ENSG00000278698
AC011446.3	No	28790	22.81	ENSG00000287296
AC099753.1	No	28791	22.8	ENSG00000282987
LINC02549	No	28792.5	22.8	ENSG00000226497
ARHGEF7-IT1	No	28792.5	22.8	ENSG00000233644
AL138962.1	No	28794	22.79	ENSG00000228573
AL353753.1	No	28795	22.79	ENSG00000276759
AL133467.2	No	28796	22.79	ENSG00000258927
AL157414.1	No	28797.5	22.79	ENSG00000203266
AC027601.2	No	28797.5	22.79	ENSG00000260005
AP000936.1	No	28799	22.78	ENSG00000224077
AL035416.1	No	28800	22.78	ENSG00000226883
LINC01932	No	28801.5	22.77	ENSG00000253315
AC007001.1	No	28801.5	22.77	ENSG00000267055
AL121897.1	No	28803	22.77	ENSG00000287850
AL353768.2	No	28804	22.77	ENSG00000285807
AP001547.1	No	28805	22.77	ENSG00000254885
LINC02508	No	28806.5	22.77	ENSG00000251619
AL136298.1	No	28806.5	22.77	ENSG00000258580
AL583808.1	No	28808	22.76	ENSG00000225087
KLHL6-AS1	No	28809	22.76	ENSG00000242522
AC109136.1	No	28810.5	22.76	ENSG00000285775
AC087369.2	No	28810.5	22.76	ENSG00000286969
Z82246.1	No	28812	22.76	ENSG00000236054
AL583859.3	No	28813	22.76	ENSG00000287309
CST9L	No	28814.5	22.76	ENSG00000101435
AL513122.2	No	28814.5	22.76	ENSG00000239593
AC090771.2	No	28816	22.76	ENSG00000267686
AC022523.3	No	28817	22.75	ENSG00000259320
OTOP1	No	28818	22.75	ENSG00000163982
STPG3	No	28819	22.75	ENSG00000197768
AL590381.1	No	28820	22.74	ENSG00000285483
OR5M3	No	28821	22.74	ENSG00000174937
PPP1R14D	No	28822	22.74	ENSG00000166143
AC002558.2	No	28823	22.74	ENSG00000261872
AC027801.4	No	28824	22.74	ENSG00000262837
LINC01370	No	28825	22.73	ENSG00000237767
AC112496.1	No	28826	22.73	ENSG00000241886
AL117382.1	No	28827	22.73	ENSG00000226812
AL049820.1	No	28829	22.73	ENSG00000233044
SPIN4-AS1	No	28829	22.73	ENSG00000233661
AC009446.1	No	28829	22.73	ENSG00000254277
AC011899.3	No	28831	22.73	ENSG00000272839
AC139099.1	No	28832	22.73	ENSG00000262094
AC100849.1	No	28833	22.73	ENSG00000253557
AC002428.1	No	28834.5	22.72	ENSG00000253927
AC183088.3	No	28834.5	22.72	ENSG00000287345
LINC02046	No	28836	22.72	ENSG00000242440
LINC01801	No	28837	22.72	ENSG00000267767
DSG4	No	28838	22.71	ENSG00000175065
AC007495.1	No	28839	22.71	ENSG00000260041
ABCA9-AS1	No	28840	22.71	ENSG00000231749
DCAF8L2	No	28841	22.71	ENSG00000189186
AC114321.1	No	28842.5	22.71	ENSG00000254171
AC137761.1	No	28842.5	22.71	ENSG00000260158
AC002386.1	No	28844	22.7	ENSG00000230941
AC106865.2	No	28845	22.7	ENSG00000287216
AL137191.1	No	28846	22.7	ENSG00000259093
AC090589.2	No	28847	22.7	ENSG00000255520
AL138799.2	No	28848	22.7	ENSG00000227960
AC004009.1	No	28849	22.69	ENSG00000224322
TMEM239	No	28850.5	22.68	ENSG00000198326
AJ011931.2	No	28850.5	22.68	ENSG00000286886
HOXC12	No	28852.5	22.68	ENSG00000123407
AF111169.2	No	28852.5	22.68	ENSG00000259058
AC004990.1	No	28854	22.68	ENSG00000232756
UBTFL1	No	28855	22.67	ENSG00000255009
FRG2	No	28856	22.67	ENSG00000205097
LINC02443	No	28857	22.67	ENSG00000256115
LINC01899	No	28858	22.67	ENSG00000265352
PRKCA-AS1	No	28859	22.67	ENSG00000264630
AL162394.1	No	28860	22.66	ENSG00000234860
FAM25A	No	28861	22.66	ENSG00000188100
AL162632.1	No	28862	22.65	ENSG00000257900
MAGEA9	No	28863	22.65	ENSG00000123584
AC034222.2	No	28864	22.65	ENSG00000286164
AP000235.1	No	28865	22.64	ENSG00000244278
AC098656.1	No	28866	22.64	ENSG00000287406
AC091868.2	No	28867.5	22.64	ENSG00000249293
AC025809.1	No	28867.5	22.64	ENSG00000267662
PRICKLE2-AS3	No	28869	22.64	ENSG00000226017
BPIFB3	No	28870	22.64	ENSG00000186190
AL391097.3	No	28871	22.63	ENSG00000286865
AL133419.1	No	28872.5	22.63	ENSG00000233415
AC103855.1	No	28872.5	22.63	ENSG00000254514
GAU1	No	28874	22.63	ENSG00000255474
AC080023.1	No	28875	22.63	ENSG00000254554
CABP5	No	28876	22.63	ENSG00000105507
AC104793.1	No	28877	22.63	ENSG00000249568
AL590483.4	No	28878.5	22.63	ENSG00000286486
AC008459.1	No	28878.5	22.63	ENSG00000286647
VSIG10L2	No	28880	22.62	ENSG00000283703
TRAV1-2	No	28881	22.62	ENSG00000256553
AL161757.2	No	28882	22.62	ENSG00000258428
AC092353.1	No	28883	22.62	ENSG00000251391
MIR205HG	No	28884	22.61	ENSG00000230937
ANXA8L1	No	28885	22.6	ENSG00000264230
LINC01940	No	28886	22.6	ENSG00000227744
LCE1C	No	28887	22.6	ENSG00000197084
AL136528.1	No	28888	22.59	ENSG00000227589
LINC00538	No	28889	22.59	ENSG00000281664
AP000696.2	No	28890	22.59	ENSG00000286517
OR2AT4	No	28891.5	22.59	ENSG00000171561
AC215522.3	No	28891.5	22.59	ENSG00000283061
LUARIS	No	28893	22.59	ENSG00000231638
ZBTB46-AS1	No	28894	22.59	ENSG00000231208
FCRL4	No	28895	22.58	ENSG00000163518
AL451105.2	No	28896	22.58	ENSG00000226854
AL353801.2	No	28897.5	22.57	ENSG00000234504
AC004549.1	No	28897.5	22.57	ENSG00000287489
AL356234.2	No	28899.5	22.57	ENSG00000230533
AC244250.4	No	28899.5	22.57	ENSG00000286941
AC010333.1	No	28901	22.56	ENSG00000259876
AL356489.1	No	28902	22.56	ENSG00000227301
MYMK	No	28903	22.56	ENSG00000187616
AL162726.4	No	28904	22.56	ENSG00000232749
AL445430.2	No	28905	22.56	ENSG00000242753
AC009411.2	No	28906	22.56	ENSG00000235537
F13B	No	28907	22.56	ENSG00000143278
LINC02366	No	28908	22.55	ENSG00000256888
ESRG	No	28909	22.55	ENSG00000265992
AC007216.1	No	28910	22.55	ENSG00000260488
AC027251.1	No	28911	22.55	ENSG00000286934
AC103810.5	No	28912.5	22.55	ENSG00000266644
AL713868.1	No	28912.5	22.55	ENSG00000287921
AL360091.3	No	28914	22.54	ENSG00000234915
AC022400.1	No	28915	22.54	ENSG00000224195
AC010880.1	No	28916	22.54	ENSG00000224400
AC099786.3	No	28917	22.54	ENSG00000261213
AL590666.4	No	28918	22.53	ENSG00000285570
AL360270.1	No	28919	22.53	ENSG00000232811
IGFL3	No	28920	22.53	ENSG00000188624
AP002008.1	No	28921	22.53	ENSG00000254980
AC025165.1	No	28922	22.52	ENSG00000224713
AC003958.2	No	28923.5	22.52	ENSG00000234859
AC018445.1	No	28923.5	22.52	ENSG00000275186
AC044893.2	No	28925	22.51	ENSG00000286701
AC091212.1	No	28926	22.51	ENSG00000239462
IL1R1-AS1	No	28927	22.51	ENSG00000226925
BX255925.4	No	28928	22.51	ENSG00000288234
AC022145.1	No	28929	22.51	ENSG00000268296
FP325330.2	No	28930	22.51	ENSG00000278890
LINC00563	No	28931	22.51	ENSG00000261097
LINC01675	No	28932	22.51	ENSG00000234142
AC051635.1	No	28933	22.5	ENSG00000287673
AC105265.4	No	28934	22.5	ENSG00000276471
AC091100.1	No	28935.5	22.49	ENSG00000259422
AC007795.1	No	28935.5	22.49	ENSG00000267617
AC100778.3	No	28937	22.49	ENSG00000265496
ADH7	No	28938	22.49	ENSG00000196344
AL359237.1	No	28939	22.49	ENSG00000258807
AC243967.2	No	28940	22.48	ENSG00000268833
AL139035.2	No	28941	22.48	ENSG00000287746
LINC01865	No	28942	22.48	ENSG00000233684
MUC2	No	28944	22.48	ENSG00000198788
MRTFA-AS1	No	28944	22.48	ENSG00000232564
LINC01169	No	28944	22.48	ENSG00000259471
AC069280.1	No	28946	22.48	ENSG00000236839
AC108482.1	No	28947	22.47	ENSG00000253572
CDH18-AS1	No	28948	22.47	ENSG00000249854
LINC01269	No	28949	22.47	ENSG00000258689
AC068112.1	No	28950	22.47	ENSG00000264869
LINC00885	No	28951	22.46	ENSG00000224652
C7orf69	No	28952	22.46	ENSG00000136275
AC025244.2	No	28953	22.45	ENSG00000251454
DYNAP	No	28954	22.45	ENSG00000178690
AC016820.1	No	28955.5	22.45	ENSG00000228683
AC099501.1	No	28955.5	22.45	ENSG00000287447
AC105384.1	No	28958	22.44	ENSG00000249706
AC023906.2	No	28958	22.44	ENSG00000259178
AC106820.6	No	28958	22.44	ENSG00000285970
FABP12	No	28960	22.43	ENSG00000197416
AL603832.1	No	28961	22.43	ENSG00000225075
AC078905.1	No	28962	22.43	ENSG00000259761
CLDN25	No	28963	22.43	ENSG00000228607
CNGA2	No	28964	22.43	ENSG00000183862
CRISP1	No	28965	22.43	ENSG00000124812
AC006557.3	No	28966	22.42	ENSG00000267356
AC006482.1	No	28967	22.42	ENSG00000228675
AC018495.1	No	28968.5	22.42	ENSG00000230599
AP003717.1	No	28968.5	22.42	ENSG00000255847
AC108052.1	No	28970	22.41	ENSG00000286467
LINC01908	No	28971.5	22.41	ENSG00000265374
AC011840.4	No	28971.5	22.41	ENSG00000266775
AC117509.1	No	28973	22.4	ENSG00000286492
AC108734.4	No	28974	22.4	ENSG00000285336
AC126175.2	No	28975	22.4	ENSG00000277738
AC017053.1	No	28976	22.4	ENSG00000234275
TCL1A	No	28977	22.4	ENSG00000100721
AC099563.2	No	28978	22.39	ENSG00000287008
AL139330.1	No	28979	22.39	ENSG00000285642
TRBV18	No	28980	22.39	ENSG00000276557
CD207	No	28981.5	22.39	ENSG00000116031
AC095050.1	No	28981.5	22.39	ENSG00000248551
AC073326.1	No	28983	22.39	ENSG00000228540
AL161935.3	No	28984	22.38	ENSG00000286694
AL035691.1	No	28985	22.38	ENSG00000236823
AC105339.3	No	28986	22.38	ENSG00000259442
AFM	No	28987	22.38	ENSG00000079557
BX664730.1	No	28988	22.38	ENSG00000276898
AL161646.1	No	28989	22.38	ENSG00000237761
LINC02567	No	28990	22.37	ENSG00000237552
LINC01713	No	28991	22.37	ENSG00000228482
AC103833.2	No	28992	22.37	ENSG00000287785
AADAC	No	28993.5	22.37	ENSG00000114771
AC099684.3	No	28993.5	22.37	ENSG00000262869
AP002961.1	No	28995	22.37	ENSG00000285878
AC022511.1	No	28996	22.37	ENSG00000256273
ROPN1L-AS1	No	28997	22.36	ENSG00000250600
AC009090.2	No	28998	22.36	ENSG00000260148
AC112481.1	No	28999	22.36	ENSG00000257787
FP325318.1	No	29000	22.36	ENSG00000276266
AC022832.2	No	29001	22.36	ENSG00000286798
AC013509.1	No	29002	22.35	ENSG00000253681
AC073626.1	No	29003	22.34	ENSG00000224595
AC018558.2	No	29004	22.34	ENSG00000261350
AC109462.3	No	29005	22.34	ENSG00000283423
ITCH-IT1	No	29006	22.34	ENSG00000231795
AC025918.1	No	29007	22.33	ENSG00000225798
AC084871.3	No	29008	22.33	ENSG00000286256
LINC01189	No	29009	22.33	ENSG00000232827
AL034376.2	No	29010	22.33	ENSG00000260673
HOXC-AS3	No	29011	22.33	ENSG00000251151
AC116534.1	No	29012	22.32	ENSG00000287962
LINC00524	No	29013	22.32	ENSG00000259023
AC099508.2	No	29014	22.32	ENSG00000261058
AC011195.2	No	29015	22.31	ENSG00000266826
AL512288.1	No	29016	22.31	ENSG00000227050
LINC02013	No	29017	22.31	ENSG00000228730
HTRA4	No	29018	22.31	ENSG00000169495
CLCA1	No	29019	22.31	ENSG00000016490
IGLCOR22-1	No	29020	22.31	ENSG00000254127
PLET1	No	29021	22.3	ENSG00000188771
AC008760.1	No	29022	22.3	ENSG00000269680
DDI1	No	29023	22.3	ENSG00000170967
LINC02834	No	29024	22.29	ENSG00000285686
AC015936.1	No	29025.5	22.29	ENSG00000267334
AL359552.1	No	29025.5	22.29	ENSG00000287233
AF181450.1	No	29027	22.29	ENSG00000253576
AC009511.1	No	29028	22.29	ENSG00000256512
LINC01392	No	29029	22.29	ENSG00000233607
MCM8-AS1	No	29030	22.28	ENSG00000278719
LINC02065	No	29031	22.28	ENSG00000248846
CR383656.12	No	29032	22.27	ENSG00000258364
AC009403.3	No	29033	22.27	ENSG00000287610
AC004870.2	No	29034	22.27	ENSG00000223829
TCF21	No	29035	22.26	ENSG00000118526
AC008083.2	No	29036	22.26	ENSG00000257925
AP001767.3	No	29037	22.26	ENSG00000255503
IQCM	No	29038	22.25	ENSG00000234828
AL121829.1	No	29039.5	22.25	ENSG00000230226
AC103739.1	No	29039.5	22.25	ENSG00000259212
IGLV4-60	No	29041	22.24	ENSG00000211639
LINC02086	No	29042	22.24	ENSG00000244649
AC106736.1	No	29043	22.24	ENSG00000261260
THEG	No	29044	22.24	ENSG00000105549
AC097654.1	No	29045	22.24	ENSG00000286212
